No,Kalimat,Pasien,Usia Pasien,Penyakit,Gejala,Kapan,Periode,Tindakan,Outcome,Pertanyaan,Pembuka,Penyebab,Prakondisi,Observasi,Objek,Penutup,Referensi,Artikel
96,"Pada kadar bilirubin bayi anda yang sebesar 11.8 mg/dL, kemungkinan masih normal meskipun mendekati batas atas, namun perlu dipastikan kembali apakah bayi anda termasuk cukup bulan atau prematur, karena batas kadar normal bilirubin pun juga dapat berbeda. ",,,,,,,,1,,,,1,1,,,,
97,"Untuk mencegah penyakit bayi kuning pada anak, anda perlu memperbanyak berikan ASI, dan pastikan anda juga memantau kondisi bayi ",,,1,,,,1,,,,,,,,,,
98,"jika masih tampak aktif, memiliki refleks hisap yang baik, suhu tubuh cenderung normal dan stabil, serta warna urin dan BAB dalam batas normal, tidak adanya tanda kesulitan bernapas, maka kemungkinan besar bayi anda masih termasuk normal. ",,,,,,,,1,,,,1,,,,,
99,"Namun, jika anda masih merasa kurang yakin, anda dapat berkonsultasi lebih lanjut dengan dokter anak, agar dapat dilakukan pemeriksaan menyeluruh, dan penjelasan yang tepat sesuai dengan kerisauan anda. ",,,,,,,1,1,,,,1,,,,,
100,"Demikian yang dapat kami sampaikan, semoga bermanfaat. ",,,,,,,,,,,,,,,1,,
101,Terima kasih. ,,,,,,,,,,,,,,,1,,
102,"Siang dok, saya mau nanya, saya punya bayi umur 4 bulan, bayi saya full ASi dok.",1,1,,,,,,,,1,,1,,,,,
103,Saya baru menyadari kok mata bayi saya kayak cekung ke dalam gitu ya dok?,,,,1,,,,,1,,,,,,,,
104," saya coba cari info dulu katanya itu gejala dehidrasi pada bayi, tapi dok bayi saya tidak ada diare, dan menyusuinya pun masih baik dok. kencingnya juga masih lancar, saya bisa ganti popok beberapa kali.",,,,1,,,,,,,,1,,,,,
105,Jadi kenapa ya dok mata bayi saya cekung gitu?,,,,,,,,,1,,,,,,,,
106,bahaya gak dok ,,,,,,,,,1,,,,,,,,
107,Terima kasih atas pertanyaannya. ,,,,,,,,,,1,,,,,,,
108,"Untuk mengetahui keluhan pasti pada bayi, perlu diperiksa secara langsung karena harus diperiksa oleh dokter karena harus dilihat dan diperiksa.",,,,,,,1,1,,,,,,,,,
109,"Memang salah satu tanda dari dehidrasi yaitu adanya mata cekung, namun selain karena dehidrasi juga dapat disebabkan karena gejala alergi, keleahan atau kurang tidur, kekurangan nutrisi hingga genetik.",,,,1,,,,,,,1,,,,,,
110,Oleh karena penyebab dari keluhan bermacam-macam maka perlu diperiksa secara langsung karena kondisinya harus diperiksa menyeluruh dan harus diketahui juga riwayat kesehatan serta kondisi klinis dan gejala lain.,,,,,,,1,,,,1,,,,,,
111,"Bila memang terjadi karena dehidrasi, gejala lain selain mata cekung yaitu mulut dan bibir kering, air mata kering saat menangis, tampak rewel, tidak kuat menyusu, urin lebih gelap, popok kering, tangan dan kaki dingin, pucat, ubun-ubun cekung, lemas, terlihat mengantuk hingga sesak napas maka sebaiknya segera melakukan pemeriksaan ke dokter agar dapat diperiksa langsung mengenai kondisinya.",,,,1,,,1,,,,1,,,,,,
112,"Terima kasih, semoga membantu. ",,,,,,,,,,,,,,,1,,
113,"Pagi dok., saya mau tanya, anak saya umur 3bulan dan terkena batuk selama 1 minggu, saya coba kasi paracetamol tapi tidak kunjung membaik dok, napas anak saya jadi grok grok gitu, tenggorokannya kaya ganjel, biar cepet sembuh kasi apa ya dok? ",1,1,,1,,1,1,1,1,1,,,,1,,,
114,"Alo, terimakasih atas pertanyaannya. ",,,,,,,,,,1,,,,,,,
115,Batuk-batuk pada bayi memang tidak selalu berbahaya. ,,,1,,,,,1,,,,,,,,,
116,"Akan tetapi, penumpukan lendir di tenggorokan saat batuk jelas bisa membuat bayi merasa sangat tidak nyaman, hingga membuat napasnya berbunyi grok-grok dan tenggorokan pun seperti terganjal. ",,,,,,,,1,,,,1,,,,,
117,"Secara umum, berikut beberapa faktor penyebab batuk tersering pada bayi: ",,,,,,,,,,,,,,,,,
118,Alergi dingin atau alergi terhadap substansi lainnya,,,,,,,,,,,1,,,,,,
119," Infeksi virus, bakteri, atau mikroorganisme lain (misalnya COVID-19, influenza, tuberculosis), bisa di saluran pernapasan atas, maupun bawah ",,,,,,,,,,,1,,,,,,
120,Refluks (aliran berbalik) asam lambung,,,,,,,,,,,1,,,,,,
121,"Faktor lain, seperti asma, aspirasi benda asing ke saluran pernapasan, pengaruh obat, menangis berlebihan, tonsilitis, dan sebagainya",,,,,,,,,,,1,,,,,,
122,"Jika bayi Anda batuknya sudah terjadi lebih dari 3 hari, apalagi disertai kesulitan menyusu, demam, sesak, muntah, dahak kekuningan atau kehijauan, dan keluhan lain yang lebih berat, lebih baik ia diperiksakanlah langsung ke dokter atau dokter anak terdekat ya.. ",,,,1,,1,1,,,,,,,,,,
123,"Pemeriksaan darah, swab, rontgen, atau tes penunjang lain bisa dokter lakukan bila menduga kondisi bayi Anda cukup serius",,,,,,,1,,,,,1,,,,,
124,Berikut penanganan awal yang bisa Anda lakukan di rumah:,,,,,,,1,,,,,,,,,,
125,Tidak memberi bayi sembarang obat batuk atau obat apapun,,,,,,,1,,,,,,,,,,
126,Susui bayi Anda ASI sering-sering,,,,,,,1,,,,,,,,,,
127,"Hindari menyusukan bayi menggunakan dot, apalagi yang alirannya terlalu deras ",,,,,,,1,,,,,1,,,,,
128,"Tenangkan bayi Anda, biarkan ia cukup istirahat, jangan sampai menangis berlebihan ",,,,,,,1,,,,,,,,,,
129,"Kondisikan lingkungan sekitar bayi supaya bersih, tidak terlalu dingin, tidak berdebu, dan bersirkulasi udara yang baik Jauhkan bayi dari orang yang sedang sakit menular",,,,,,,1,1,,,,,,,,,
130, Jauhkan bayi dari orang yang sedang sakit menular,,,,,,,1,,,,,1,,,,,
131,Batasi membawa bayi keluar rumah ,,,,,,,1,,,,,,,,,,
132, Jemur bayi di bawah sinar matahari pagi dan sore agar lendir di tenggorokannya mencair dan mudah dikeluarkan ,,,,,,,1,1,,,,,,,,,
133, Jauhkan bayi dari asap rokok dan hal-hal yang mungkin membuatnya alergi,,,,,,,1,,,,,,,,,,
134,Semoga membantu ya..,,,,,,,,,,,,,,,1,,
135,Assalamu'alaikum. ,,,,,,,,,,1,,,,,,,
136,"Maaf dok saya mau bertanya, bayi saya saat ini sekitar umur 6 bln, Dia sedang terkena gabagan(kata orang Jawa). ",1,1,1,,,,,,,,,,,,,,
137,"Bayi saya demam dok, dan kayanya ruam kulitnya juga gatal soalnya bayi saya gelisah banget padahal kamar sudah pake AC.",,,,1,,,,,,,,1,,,,,
138,cra cepet buat ngobatin gabagan nya gmn ya dok?,,,,,,,,,1,,,,,,,,
139, saya kasian liat anak saya ,,,,,,,,,,,,,,,,,
140,"Waalaikumsalam, selamat siang bunda",,,,,,,,,,1,,,,,,,
141,"demam merupakan suatu kondisi dimana tubuh sedang melawan infeksi baik virus, bakteri, jamur maupun parasit. ",,,,1,,,,,,,1,,,,,,
142,"dimana demam ditandai dengan suhu badan diatas 37,5 derajat. ",,,,,,,,,,,,,1,,,,
143,demam yang disertai ruam ditubuh dapat disebabkan oleh beberapa hal penyebab seperti : ,,,,1,,,,,,,,,,,,,
144,campak ,,,1,,,,,,,,,,,,,,
145, roseola,,,1,,,,,,,,,,,,,,
146, rubella,,,1,,,,,,,,,,,,,,
147,demam berdarah ,,,1,,,,,,,,,,,,,,
148, dan lainnya ,,,,,,,,,,,,,,,,,
149,"untuk lebih memastikan kemungkinan penyebab yang dialami bayi bunda, saran saya sebaiknya menemui dokter secara langsung agar dilakukan pemeriksaan lebih lanjut secara langsung dengan begitu dapat di duga penyebabnya dan diberikan terapi yang tepat sesuai penyebab yang mendasari. ",,,,,,,1,1,,,,,,,,,
150,untuk saat ini ada beberapa tips yang bisa bunda lakukan untuk mengurangi keluhan seperti :,,,,,,,1,1,,,,,,,,,
151,berikan anak cairan yang cukup ,,,,,,,1,,,,,,,,,,
152,"kompres hangat pada dahi, sela ketiak dan selangkangan untuk mengurangi demam",,,,,,,1,1,,,,,,,,,
153, konsumsi obat penurun demam seperti paracetamol drop ,,,,,,,1,,,,,,,1,,,
154, bisa berikan anak bedak atau cream calamine untuk mengatasi keluhan gatal pada ruam,,,,,,,,1,,,,,,1,,,
155,semoga dapat membantu ,,,,,,,,,,,,,,,1,,
156,Selamat pagi dokter.,,,,,,,,,,1,,,,,,,
157,"Saya ibu yang baru melahirkan seorang bayi perempuan, bayi saya umurnya baru 1 minggu dok.",1,1,,,,,,,,,,,,,,,
158,"Saya mau bertanya, sudah beberapa hari ini bayi saya matanya agak kuning.",,,,1,,1,,,,,,,,,,,
159,saya rajin memberikan asi ke anak saya bahkan pernah 1jam sekali saking dia hausnya.,,,,,,1,1,,,,1,,,,,,
160,Tp paling lama 2 jam sekali.,,,,,,1,,,,,,,,,,,
161,tapi kok pas saya lihat mata bayi saya itu agak kuning dok?,,,,1,,,,,,,,,,,,,
162,Tp bagian tubuh yg lain tidak terlihat kuning.,,,,1,,,,,,,,,,,,,
163,Hanya mata saja.,,,,,,,,,,,,,,,,,
164,apakah membahayakan atau masih wajar?,,,,,,,,,1,,,,,,,,
165,Apa yang saya harus lakukan untuk menghilangkan kuningnya?,,,,,,,,,1,,,,,,,,
166,Terima kasih atas pertanyaannya. ,,,,,,,,,,1,,,,,,,
167,Bayi kuning atau penyakit kuning adalah kondisi yang sering terjadi pada bayi baru lahir. ,,,1,,,,,,,,,1,,,,,
168,Kondisi ini dapat menandakan kondisi yang tidak berbahaya atau juga dapat menjadi tanda berbahaya. ,,,,,,,,1,,,,,,,,,
169,Warna kuning pada bayi dapat dilihat dari kulit atau pada bagian mata bayi. ,,,,,,,,,,,,,1,,,,
170,Kondisi ini dapat muncul 2–3 hari setelah kelahiran dan menghilang sendiri dalam 2 minggu. ,,,,,,1,,,,,,,,,,,
171,"Namun, bila tidak kunjung membaik, perlu diwaspadai mengenai kondisi serius misalnya cerebral palsy.",,,1,,,,,,,,,1,,,,,
172,Bayi kuning dapat terjadi karena adanya penumpukanbilirubinyang disebabkan fungsi organ hati belum optimal. ,,,,,,,,,,,1,,,,,,
173,Biasanya kondisi ini tidak memerlukan perawatan khusus dan menghilang dalam 10-14 hari kecuali pada pemeriksaan bilirubin meningkat. ,,,,,,1,1,1,,,,1,,,,,
174,Maka bila dalam 14 hari tidak kunjung membaik sebaiknya memeriksakan kedokter.,,,,,,1,1,,,,,1,,,,,
175,"Untuk penanganan mandiri, sebaiknya ASI diberikan 8–12 kali dalam sehari.",,,,,,1,1,,,,,,,,,,
176,"Terima kasih, semoga membantu. ",,,,,,,,,,,,,,,1,,
177,"Selamat siang, dokter saya mau nanya tentang kesehatan bayi saya.",,,,,,,,,,1,,,,,,,
178,"Bayi saya usia 7 bulan, akhir-akhir ini sering seperti mual, mau muntah gitu, tapi tidak jadi muntah, itu berlangsung beberapa hari, kenapa ya dok?",1,1,,1,,1,,,1,,,,,,,,
179,"Selamat siang, terima kasih telah bertanya di Alodokter.",,,,,,,,,,1,,,,,,,
180,"Mual pada bayi, atau bahkan muntah, sayangnya bukan merupakan gejala spesifik terkait penyakit tertentu.",,,,1,,,,1,,,,,,,,,
181,"Bahkan meskipun muntah kaitannya dengan sistem pencernaan, tidak selalu bayi yang muntah disebabkan oleh gangguan pada sistem pencernaan.",,,,1,,,,,,,1,,,,,,
182,"Sehingga untuk menentukan apakah mualnya seorang anak merupakan pertanda kelainan dan bagian tubuh apa yang memicunya, diperlukan pemeriksaan dan penggalian riwayat menyeluruh, meliputi apa faktor yang sekiranya diduga mencetuskan, bagaimana asupan nutrisinya, apakah ada gejala lain, bagaimana aktivitas dan tidurnya sehari-hari, hingga pemeriksaan penunjang seperti rontgen atau USG bila dinilai perlu.",,,,,,,1,,,,,,1,,,,
183,"Untuk itu kami sarankan jika memang menurut Anda sudah sering, atau anak Anda nampak lemas dan asupannya terganggu, lebih baik segera periksakan langsung ke dokter anak agar bisa diperiksa dan ditangani secara menyeluruh.",,,,,,,1,1,,,,1,,,,,
184,"Sementara itu tidak perlu cemas, pastikan anak Anda tidak kedinginan terutama di malam hari, jangan berikan makanan terlalu banyak, bila anak menggunakan dot, segera copot dari mulutnya bila sudah kosong, oleskan minyak kayu putih pada perutnya, mandikan dengan air hangat, dan segera periksakan ke dokter.",,,,,1,,1,,,,,1,,1,,,
185,"Sekian, semoga menjawab pertanyaan Anda.",,,,,,,,,,,,,,,1,,
186,"Selamat siang, Dok saya mau tanya cara, solusi mengatasi biang keringat pada wajah bayi saya, Btw bayi saya baru usia 3 minggu.",1,1,1,,,,,,1,1,,,,,,,
187,"Muncul banyak bintik2 merah di keningnya, ada juga yang bisa terkelupas kering. ",,,,1,,,,,,,,,,,,,
188,cara menghilangkan biang keringat pada bayi saya bagaimana dokter.,,,,,,,,,1,,,,,,,,
189,Mohon jawabannya ya dok,,,,,,,,,,,,,,,,,
190,Thanks,,,,,,,,,,,,,,,1,,
191,"Alo, selamat siang",,,,,,,,,,1,,,,,,,
192,biang keringat pada bayi ditandai dengan bintik merah di kulit.,,,1,1,,,,,,,,,,,,,
193,biang keringat atau milliaria terjadi karena adanya peyumbatan pada pori-pori kulit sehingga keringat tidak dapat keluar. ,,,1,,,,,1,,,1,,,,,,
194,pada bayi biang keringat disebabkan oleh pori-pori kulit yang kecil serta kelenjar keringa yang belum terbentuk sempurna.,,,,,,,,,,,1,1,,,,,
195,salah satu penyebab biang keringat akibat kepanasan. ,,,,,,,,,,,1,,,,,,
196,langka penangnan yang bisa bunda lakukan dirumah berupa :,,,,,,,1,,,,,,,,,,
197, tempatkan si kecil tempat yang sejuk ,,,,,,,1,,,,,,,,,,
198,gunakan pakaian yang longgar ,,,,,,,1,,,,,,,,,,
199,bunda bisa gunakan lation atau cream yang mengandung calamine untuk mengatasi biang keringat hindari terkena area mata dan lubang hidung serta mulut ya bunda,,,,,,,,,,,,,,1,,,
200,"umumnya kondisi ini tidak berbahaya dan akan membaik dengan sendirinya bunda, namun jika sudah melakukan hal diatas tidak ada perbaikan atau semakin berat bunda bisa segera melakukan konsultasi lebih lanjut ke dokter secara langsung agar mendapatkan penangnan yang lebih tepat. ",,,,,,,1,1,,,,1,,,,,
201,semoga dapat membantu ,,,,,,,,,,,,,,,1,,
202,Selamat malam Dok..,,,,,,,,,,1,,,,,,,
203,sy ingin bertanya. ,,,,,,,,,,,,,,,,,
204,"Anak sy usia 9 bln, kemarin demam 3 hari.",1,1,1,,,1,,,,,,,,,,,
205,"Saat sudah berhenti demamnya, kalau dikasih minum atau makan suka seperti mau muntah gt Dok, kadang sampai gumoh. ",,,,1,,,,,,,,1,,,,,
206,Kira2 apa penyebabnya Dok?,,,,,,,,,1,,,,,,,,
207,Selama demam kemarin dia msh mau makan bubur & menyusu banyak.,,,,1,,,,,,,,1,,,,,
208,Hanya cemilan yg tdk mau.,,,,1,,,,,,,,,,,,,
209,Sy bingung jg apakah demamnya itu krn lg tumbuh gigi atau apa..,,,,,,,,,1,,,,,,,,
210,Mhn penjelasannya Dok.. ,,,,,,,,,,,,,,,,,
211, terimakasih.. ,,,,,,,,,,,,,,,1,,
212,"Alo, selamat malam ",,,,,,,,,,1,,,,,,,
213,gumoh merupakan suatu kondisi keluarnya cairan isi makanan yang baru saja di telan.,,,,1,,,,1,,,,,,,,,
214," gumoh umumnya wajar terjadi pada bayi selama tidak berlebihan dan tidak mengalami perubahan warna seperti warna kuning, hijau hingga terdapatnya darah.",,,,,,,,,,,,1,,,,,
215,umumnya hal ini terjadi akibat kondisi kerongkongan si bayi yang belum berkembang dengan sempurna dan ukuran lambung yang masih kecil.,,,,,,,,,,,1,,,,,,
216,umumnya hal ini akan menghilang pada usia 1 tahun.,,,,,,,,1,,,,1,,,,,
217,namun kondisi bayi anda dikasih makan dan minuma seperti mau muntah berati belum terjadinya muntah atau tersa mual. ,,,,,,,,1,,,,1,,,,,
218,"kondisi dapat dipengaruhi banyak hal seperti makanan dan minuman akibat aromanya, makanan dan minuman yang dapat menyebabkan asam lambung naik pada bayi, atau bayi sudah kenyang, dan sedang sakit .",,,,,,,,,,,1,,,,,,
219,"adanya banyak penyebab terjadi nya mual seperti alergi , intolernasi laktosa, gangguan saluran cerna. ",,,,,,,,,,,1,,,,,,
220, banyak faktor yang mempengaruhi.,,,,,,,,,,,1,,,,,,
221,"saran saya coba berikan makanan secara perlahan saja dengan porsi sedikit-sedikit pastikan anak tidak makan langsung dengan banyak, berikan ia minuman yang hangat, pastikan bayi sudah tidak demam lagi. ",,,,,,,1,,,,,,,,,,
222, jika keluhan tidak membaik juga sebaiknya segera konsultasikan hal ini lebih lanjut ke dokter anak. ,,,,,,,1,,,,,1,,,,,
223,semoga dapat membantu ,,,,,,,,,,,,,,,1,,
224,"Kenapa ya dok, di bibir saya muncul bintik-bintik berwarna putih., pada bayi saya usia 7 bulan? ",1,1,,1,,,,,1,,,,,,,,
225,cara ngilanginnya gimana dokter? ,,,,,,,,,1,,,,,,,,
226,mohon solusinya ,,,,,,,,,,,,,,,,,
227,"Alo, terima kasih atas pertanyaannya untuk Alodokter. ",,,,,,,,,,1,,,,,,,
228,"Bintik putih yang bisa saja terjadi pada bayi dapat disebabkan oleh adanya infeksi jamur, sariawan, ataupun leukoplakia, yang bisa disebabkan oleh oral hygiene atau kebersihan mulut yang buruk, dimana jarang dibersihkan dengan baik menggunakan sikat gigi ataupun jarang dibersihkan menggunakan kassa steril.",,,,1,,,,,,,1,,,,,,
229,"Untuk mengatasinya, anda perlu rutin membersihkan area sekitar mulut anak dapat dengan menggunakan kassa steril atau menggunakan sikat gigi, baik pada bagian luar dan dalam mulut anak minimal 2 kali sehari, berikan anak anda buah-buahan yang mengandung vitamin C, atau dengan memberikan vitamin yang disesuaikan dengan usianya. ",,,,,,,1,,,,,1,,1,,,
230,"Namun, kemungkinan beberapa diagnosis tersebut juga belum dapat dipastikan pada anak anda, karena dokter perlu melihat secara langsung keluhan yang anak anda alami saat ini. ",,,,,,,,1,,,,1,,,,,
231,"Oleh karena itu, jika dalam beberapa hari ke depan, keluhan pada anak anda belum juga membaik, maka sebaiknya periksakan anak anda secara langsung kepada dokter anak, agar dapat dilakukan pelacakan penyebab dan penanganan yang tepat. ",,,,,,1,1,1,,,,1,,,,,
232,"Demikian yang dapat kami sampaikan, semoga bermanfaat.",,,,,,,,,,,,,,,1,,
233,Terima kasih. ,,,,,,,,,,,,,,,1,,
234,"Selamat siang, dok bayi saya didiagnosa mengalami usus bocor. ",1,,1,,,,,,,1,,,,,,,
235,apakah itu harus di operasi dok? ,,,,,,,,,1,,,,,,,,
236,saya nggak tega dok sama bayi yang masih usia 7 bulan. ,1,1,,,,,,,,,,,,,,,
237,mohon solusinya ya dok ,,,,,,,,,,,,,,,,,
238,Terima kasih atas pertanyaannya. ,,,,,,,,,,1,,,,,,,
239,Mengenai kondisi adanya usus bocor tersebut perlu ditangani oleh dokter bedah anak. ,,,1,,,,1,,,,,,,,,,
240,Tentunya tindakan yang akan dipilih merupakan tindakan dengan manfaat yang terbaik dengan memperhatikan pula risiko sehingga sebelum diputuskan tindakan yang akan dilakukan akan dimintai persetujuan,,,,,,,,,,,,1,,,,,
241,"Mengenai usus bocor dapat disebabkan karena beberapa hal seperti karena mengalami infeksi, kemudian adanya kelainaan anatomi pada organ pencernaan, kelainan bawaan, dan sebagainya. ",,,,,,,,,,,1,,,,,,
242,Mengenai penanganan yang dilakukan berdasarkan kondisi pada anak serta apakah penanganan konservatif bisa dilakukan atau tidak,,,,,,,1,,,,,1,,,,,
243,Bila dari penilaian tidak bisa maka perlu operasi. ,,,,,,,1,,,,,1,,,,,
244,Maka sebaiknya berkonsultasi dengan dokter yang merawat sebelumnya atau dapat ke dokter bedah anak untuk mendapatkan penjelasan mengenai kondisi serta penanganan paling tepat.,,,,,,,1,1,,,,,,,,,
245,"Terima kasih, semoga membantu.",,,,,,,,,,,,,,,1,,
246,Dok anak saya usia 9 bulan terkadang kalo bernapas hidungnya sampai kembang kempis. ,1,1,,1,,,,,,,,,,,,,
247,Penyebabnya apa ya?,,,,,,,,,1,,,,,,,,
248, Apakah ada indikator untuk penyakit tertentu ya? ,,,,,,,,,1,,,,,,,,
249,saya takut anak saya kenapa2 dok. ,,,,,,,,,,,,,,,,,
250,tolon dijawab ya.,,,,,,,,,,,,,,,,,
251,terima kasih,,,,,,,,,,,,,,,1,,
252,"Alo, selamat siang bunda",,,,,,,,,,1,,,,,,,
253,keluhan berupa bernapas dengan cuping hidung kembang kempis umumnya berupa suatu kondisi sesak napas.,,,1,1,,,,,,,,,,,,,
254,saat sesak napas maka hidung akan melakukan napas cuping hidung untuk memaksimalkan jumlah udara yang masuk ke paru. ,,,,,,,1,1,,,,1,,,,,
255,bunda juga bisa melihat otot diagframa dan dinding dada otot dinding dada akan berkontraksi untuk membantu lebih mengembangkan paru-paru sehingga masuknya udara lebih maksimal kondisi ini juga gejala sesak napas.,,,,1,,,1,1,,,,,,,,,
256,"penyebab sesak napas yang terjadi pada bayi banyak penyebabnya bunda bisa akibat asma, infeksi pada paru-paru, gangguan pada jantung, dan lainnya.",,,,,,,,,,,1,,,,,,
257,"untuk menegakan diagnosis seperti ini harus melakukan pemeriksaan lebih lanjut ke dokter anak ya bunda untuk memastikan apa memang ada gangguan saluran pernapasan atau tidak dengan melakukan tindakan proses tanya jawab, pemeriksaan fisik dan pemeriksaan tambahan seperti cek darah, foto rontgen dan lainnya. ",,,,,,,1,1,,,,,,,,,
258,kondisi sesak napas sebaiknya tidak bunda sepele kan melakukan pemeriksaan sedini mungkin akan memberikan peluang kesembuhan lebih besar dan minimalkan komplikasi. ,,,,,,,1,1,,,,,,,,,
259,semoga dapat membantu ,,,,,,,,,,,,,,,1,,
260,Selamat siang dokter Saya maw tanya 3hari yg lalu istri sy melahirkan anak laki laki tp kepala blkang atas Anak sy kok Ada benjolan trus kyk isi air itu knp y dok? ,1,1,,1,,,,,1,1,,,,,,,
261,Kira2 bs kembali normal g itu dokMhn penjelasannya trima kasih sblumnya..,,,,,,,,,1,,,,,,1,,
262,"Alo, terimakasih atas pertanyaannya. ",,,,,,,,,,1,,,,,,,
263,"Benjolan lunak (seperti berisi air) di belakang kepala bayi yang baru lahir kemungkinan pencetusnya ada banyak, contohnya:",,,,1,,,,,,,,1,,,,,
264,"Caput succedaneum (benjolan yang muncul di jaringan lunak kepala, melewati garis tengah, dan biasa disebabkan oleh persalinan yang lama) ",,,,,,,,,,,1,,,,,,
265,"Peradangan di kulit, seperti folikulitis, dermatitis kontak, eksim, cacar air, herpes zoster, pompholyx, biang keringat, skabies, infeksi jamur kulit",,,,,,,,,,,1,,,,,,
266,"Tumor jinak, seperti kista pilaris, kista sebasea, kista epidermoid, hemangioma, fibroma, lipoma ",,,,,,,,,,,1,,,,,,
267,"Faktor lain, seperti erupsi obat, hematoma, skin tag, kanker, hidrosefalus, dan sebagainya ",,,,,,,,,,,1,,,,,,
268,"Apakah benjolan ini nantinya bisa sembuh atau tidak, jawabnya bergantung dari penyebab yang mendasari. ",,,,,,,,1,,,,1,,,,,
269,"Kami sarankan, jika benjolan tersebut tampak amat mengganggu, periksakanlah bayi Anda ke dokter atau dokter anak terdekat.",,,,,,,1,,,,,1,,,,,
270,"Lewat pemeriksaan fisik langsung, biasanya dokter sudah mampu mengidentifikasi dengan baik penyebab benjolan tersebut. ",,,,,,,1,1,,,,,,,,,
271,"Bila perlu, mungkin juga dokter akan mengarahkan agar bayi Anda menjalani pemeriksaan rontgen, USG, biopsi, CT scan, dan tes penunjang lainnya.",,,,,,,1,,,,,,,,,,
272,"Untuk saat ini, janganlah dulu Anda sembarangan memanipulasi benjolan yang muncul. ",,,,,,,1,,,,,,,,,,
273,"Cukup Anda jagalah tubuh dan kepala bayi Anda agar selalu bersih, jauhkan ia dari hal-hal yang rentan memicu alergi atau mengiritasi kulitnya, jaga juga kebersihan lingkungan sekitar bayi, dan jangan memberinya sembarang obat, salep, dan herba tanpa arahan dari dokter. ",,,,,,,1,,,,,1,,,,,
274,Semoga membantu ya.. ,,,,,,,,,,,,,,,1,,
275,"Dok saya mau tanya, bayi saya lahir tanpa anus atau atresia Ani.",1,,1,,,,,,,,,,,,,,
276,Jadi bayi saya belum mendapatkan penanganan medis berupa pembuatan kolostomi. ,,,,,,,,,,,,1,,,,,
277,"Sekarang sudah masuk dalam 8 hari dan belum sama sekali ditangani, apakah atresia ani bayi saya masih bisa disembuhkan dok? ",,,,,,1,1,,1,,,,,,,,
278,saya takut sekali ,,,,,,,,,,,,,,,,,
279,"Alo, terimakasih atas pertanyaannya.",,,,,,,,,,1,,,,,,,
280,Atresia ani bisa terjadi karena gangguan pada perkembangan saluran cerna saat kandungan berusia sekitar 5 hingga 7 minggu. ,,,1,,,,,,,,1,1,,,,,
281,"Kondisi ini wajib ditangani segera agar tidak menimbulkan komplikasi serius, seperti konstipasi, perforasi usus, inkontinensia feses atau urin, hidrokolpos, stenosis anus, dan sebagainya. ",,,1,,,,1,1,,,,,,,,,
282,Penanganan atresia ani dilakukan utamanya dengan operasi.,,,,,,,1,,,,,,,,,,
283,"Operasi ini biasanya tidak dilakukan sekali, melainkan terbagi menjadi beberapa prosedur, seperti kolostomi (pembuatan lubang/ stoma di dinding perut untuk dijadikan saluran pembuangan feses sementara yang terhubung dengan sebuah kantung), pull through (penyambungan rektum dan anus), penutupan kolostomi (penutupan stoma), dan anoplasti perineum (penutupan fistula yang terhubung dengan saluran kemih atau vagina, serta membuat lubang anus di posisi yang semestinya).",,,,,,,1,,,,,,,,,,
284,Atresia ani ada beberapa jenis dan keparahannya. ,,,,,,,,,,,,1,,,,,
285,"Tergantung hal ini, waktu terbaik untuk melakukan operasi pada anak dengan atresia ani bisa berbeda-beda. ",,,,,,,1,,,,,1,,,,,
286,"Pada kasus yang berat dan dengan kondisi anak yang stabil, operasi bisa dilakukan di hari-hari atau minggu-minggu pertama usai dilahirkan.",,,,,1,,1,,,,,1,,,,,
287,"Akan tetapi, tidak jarang juga operasi ditunda hingga beberapa minggu atau beberapa bulan karena beragam pertimbangan, tentunya demi kebaikan sang anak sendiri. ",,,,,,1,1,1,,,,,,,,,
288,Yang berhak memutuskan penanganan seperti apa yang perlu dilakukan dan kapan penanganan tersebut perlu anak Anda jalani tentulah dokter anak atau dokter bedah yang memeriksanya langsung. ,,,,,,,,,,,,1,,,,,
289,"Jadi, sebaiknya Anda berkonsultasilah dengan beliau ya..",,,,,,,1,,,,,,,,,,
290,Semoga membantu. ,,,,,,,,,,,,,,,1,,
291,"Bayi saya usia 10 bulan sedang terkena cacar air, pada kulitnya muncul bintik berair dan sepertinya bayi saya tampak gatal karna tampak sering ingin menggaruk kulitnya dok.. ",1,1,1,1,,,,,,,,,,,,,
292,"selama ini kan bayi saya rutin saya jemur hingga kena matahari, apakah selama cacar air ini boleh kena matahari pagi dok?",,,,,,,1,,1,,,,,,,,
293,Terima kasih atas pertanyaannya. ,,,,,,,,,,1,,,,,,,
294,Cacar air merupakan munculnya ruam pada kulit dan sering menyerang anak-anak.,,,1,1,,,,,,,,,,,,,
295,Penyebab dari munculnya cacar air yaitu akibat terinfeksi virusVaricella zoster.,,,1,,,,,,,,1,,,,,,
296,"Saat mengalami cacar, dapat disertai dengan keluhan demam, pusing, gatal, nafsu makan menurun, dan sebagianya. ",,,,1,,,,,,,,,,,,,
297,Cacar sering muncul pada bagian tubuh tertentu hingga seluruh bagian tubuh.,,,,1,,,,,,,,,,,,,
298,Cacar air disebabkan oleh virus sehingga umumnya tidak memerlukan penanganan khusus dan dapat membaik dengan sendirinya. ,,,1,,,,1,1,,,1,,,,,,
